COUNTRY,Transplants per Capita
Afghanistan,0.45
Albania,3.02
Algeria,5.31
Andorra,0.0
Angola,0.0
Antigua and Barbuda,0.0
Argentina,80.64
Armenia,14.29
Australia,139.49
Austria,210.08
Azerbaijan,5.59
Bahamas,0.0
Bahrain,0.23
Bangladesh,0.67
Barbados,0.33
Belarus,54.06
Belgium,186.34
Belize,0.0
Benin,0.0
Bhutan,0.0
Bolivia (Plurinational State of),10.47
Bosnia and Herzegovina,3.38
Botswana,0.0
Brazil,71.0
Brunei Darussalam,0.0
Bulgaria,14.44
Burkina Faso,0.0
Burundi,0.0
Cambodia,0.0
Cameroon,0.0
Canada,162.49
Cape Verde,0.0
Central African Republic,0.0
Chad,0.0
Chile,44.99
China,172.74
Colombia,43.41
Comoros,0.0
Congo,0.0
Cook Islands,
Costa Rica,40.35
Croatia,132.35
Cuba,26.5
Cyprus,74.85
Czech Republic,136.29
Côte d’Ivoire,0.0
Democratic People's Republic of Korea,0.0
Democratic Republic of The Congo,0.0
Denmark,132.39
Djibouti,0.0
Dominica,0.0
Dominican Republic,12.48
Ecuador,17.25
Egypt,22.31
El Salvador,7.49
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,86.75
Eswatini,0.0
Ethiopia,0.2
Fiji,0.12
Finland,129.02
France,169.22
Gabon,0.0
Gambia,0.0
Georgia,14.03
Germany,117.5
Ghana,0.08
Greece,49.66
Grenada,0.0
Guatemala,11.8
Guinea,0.0
Guinea-Bissau,0.0
Guyana,0.0
Haiti,0.0
Honduras,0.52
Hungary,120.86
Iceland,48.33
India,104.88
Indonesia,1.6
Iran (Islamic Republic of),90.13
Iraq,0.0
Ireland,133.31
Israel,121.7
Italy,131.03
Jamaica,0.29
Japan,32.55
Jordan,40.38
Kazakhstan,15.52
Kenya,2.43
Kiribati,0.0
Kuwait,57.04
Kyrgyzstan,0.71
Lao People's Democratic Republic ,0.0
Latvia,76.93
Lebanon,19.75
Lesotho,0.0
Liberia,0.0
Libyan Arab Jamahiriya,17.42
Lithuania,69.34
Luxembourg,18.36
Madagascar,0.0
Malawi,0.0
Malaysia,5.99
Maldives,0.0
Mali,0.0
Malta,67.5
Marshall Islands,0.0
Mauritania,0.0
Mauritius,8.32
Mexico,45.33
Micronesia (Federated States of),0.0
Monaco,
Mongolia,22.58
Montenegro,5.0
Morocco,1.03
Mozambique,0.0
Myanmar,0.31
Namibia,0.0
Nauru,
Nepal,2.48
Netherlands,168.75
New Zealand,101.48
Nicaragua,1.89
Niger,0.0
Nigeria,0.98
Niue,
Norway,186.32
Oman,5.08
Pakistan,13.85
Palau,
Panama,22.51
Papua New Guinea,0.0
Paraguay,9.39
Peru,9.43
Philippines,11.24
Poland,91.7
Portugal,174.48
Qatar,28.34
Republic of Korea,117.93
Republic of Moldova,5.29
Republic of North Macedonia,16.54
Romania,29.84
Russian Federation,15.31
Rwanda,0.0
Saint Kitts and Nevis,0.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,0.0
Samoa,0.0
San Marino,
Sao Tome and Principe,0.0
Saudi Arabia,61.04
Senegal,0.0
Serbia,5.38
Seychelles,0.0
Sierra Leone,0.0
Singapore,41.1
Slovakia,71.89
Slovenia,195.11
Solomon Islands,0.0
Somalia,0.0
South Africa,10.19
South Sudan,0.0
Spain,215.04
Sri Lanka,12.36
Sudan,7.62
Suriname,0.0
Sweden,171.48
Switzerland,138.29
Syrian Arab Republic,28.36
Tajikistan,2.67
Thailand,18.29
Timor-Leste,0.0
Togo,0.0
Tonga,0.0
Trinidad and Tobago,3.16
Tunisia,15.55
Turkmenistan,0.0
Tuvalu,
Türkiye ,103.46
Uganda,0.0
Ukraine,1.59
United Arab Emirates,13.46
United Kingdom,145.34
United Republic of Tanzania,0.02
United States of America,259.12
Uruguay,81.93
Uzbekistan,0.1
Vanuatu,0.0
Venezuela (Bolivarian Republic of),12.26
Viet Nam,1.09
Yemen,0.0
Zambia,0.0
Zimbabwe,0.0
